t,pi,y,i,phi,u,g,v
0,0.014182741936723045,-0.01110734632633424,0.004108042383462443,5.633160956539444e-05,0.01,0.0,0.0
1,0.014060827386073935,-0.018208775228103418,0.007227726513321108,0.0001628195516647563,0.011441000000000002,0.0,0.0
2,0.01350354879930818,-0.023392279084054855,0.009457841566826726,0.00019830783196619575,0.0123528648,0.0,0.0
3,0.013928155350921229,-0.027045015551859813,0.01131027948063963,0.0004233474981987654,0.01292989284544,0.0,0.0
4,0.014723919348205964,-0.02997213964257916,0.012990265631921514,0.0007399229426582266,0.013295036192594431,0.0,0.0
5,0.01692403717096931,-0.03256861338165527,0.014976716467977864,0.0013754335810142895,0.013526098902673757,0.0,0.0
6,0.018736746509224668,-0.035477763534109995,0.01708406539651759,0.0019950811908009004,0.013672315385611951,0.0,0.0
7,0.018947812519087337,-0.03844133630652897,0.018789105433390088,0.002302512997558569,0.013764841176015242,0.0,0.0
8,0.021627077287483046,-0.04090385864128341,0.02094933536719439,0.0030963791548511126,0.013823391496182445,0.0,0.0
9,0.02232765639784911,-0.043896127028275306,0.0228495158234629,0.00353313569687881,0.01386044213878425,0.0,0.0
10,0.02263549146079934,-0.04650836042978329,0.02442530670604579,0.0038536375029690787,0.013883887785422674,0.0,0.0
11,0.02328856547923358,-0.04868275887828318,0.025855948282850143,0.004206475173213297,0.013898724190615467,0.0,0.0
12,0.010778962431502063,-0.03958052416537193,0.023382866079472767,0.004704343208781491,0.003908112667821467,0.0,0.0
13,0.012626353247874181,-0.034759366654793254,0.022073744576831682,0.0051924495145087455,0.002473053696197424,0.0,0.0
14,0.01492557285438865,-0.03209251993035966,0.02179622129289819,0.005779897071580411,0.00156494837895373,0.0,0.0
15,0.017699914658151364,-0.03119527876612317,0.02246026003441967,0.00651151774569121,0.0009902993342019203,0.0,0.0
16,0.018458957249017176,-0.031733717970682467,0.023224829854196258,0.006875300572366039,0.0006266614186829752,0.0,0.0
17,0.019649741441426012,-0.03256475127384025,0.024197975005705776,0.007305852267773198,0.0003965513457425867,0.0,0.0
18,0.0202986909334096,-0.0337508773003538,0.02516257240373083,0.007623055022464564,0.0002509376915859089,0.0,0.0
19,0.020836469140254433,-0.03497868138500373,0.026084311089794063,0.007899109897118999,0.00015879337123556316,0.0,0.0
20,0.021874152641031864,-0.03620072544993603,0.02712710789416013,0.00826678921927456,0.00010048444531786437,0.0,0.0
21,0.022860333901930475,-0.03760806334292603,0.028247574476226178,0.008633600608457718,6.358655699714457e-05,0.0,0.0
22,0.024627139562040583,-0.03916070728701639,0.0296709488717775,0.009175145011106051,4.023757326779309e-05,0.0,0.0
23,0.02593745131477895,-0.04111837247197489,0.031188130595143124,0.009657450766694149,2.5462336363859466e-05,0.0,0.0
24,0.025965750119998403,-0.04316709461566535,0.03237951298680845,0.009874929070664942,1.611256645105027e-05,0.0,0.0
25,0.02767736715749292,-0.04483266943462526,0.0338404567071109,0.010409110936403383,1.0196032050224611e-05,0.0,0.0
26,0.02995846931054315,-0.04688479529624178,0.03568851951398895,0.011102346156891684,6.4520490813821345e-06,0.0,0.0
27,0.03117559067816413,-0.04942861852288026,0.03750728859592572,0.011619248499930415,4.082856658698615e-06,0.0,0.0
28,0.033307695318304666,-0.05196357536718555,0.039587784932123386,0.012328915737566792,2.5836316936244833e-06,0.0,0.0
29,0.03550494943996598,-0.0548562294729502,0.04189248435392193,0.013088430679714009,1.634922135725573e-06,0.0,0.0
30,0.03749649004967556,-0.05804660905536363,0.04430790666332447,0.013834361442991541,1.0345787274871427e-06,0.0,0.0
31,0.038735824538320814,-0.06136278375948902,0.04657565167796037,0.014433451274037674,6.546814187538639e-07,0.0,0.0
32,0.039034984386409705,-0.06444804990008539,0.04843589515121187,0.01480971848740195,4.142824017874451e-07,0.0,0.0
33,0.039632256856189395,-0.06699047167959638,0.050071301434957305,0.015194138572709322,2.6215790385109524e-07,0.0,0.0
34,0.04248952786642648,-0.0693019552711284,0.052234409599899806,0.016034350220221906,1.6589352155697308e-07,0.0,0.0
35,0.0435217382967447,-0.07226947963673958,0.05424110309958019,0.016554049782922898,1.0497742044125257e-07,0.0,0.0
36,0.04592454174705017,-0.07506972962817829,0.05655219313687241,0.017347413104547914,6.642971165522463e-08,0.0,0.0
37,0.047199610523602054,-0.07824594650937802,0.05874973835453604,0.017939748675580135,4.203672153542615e-08,0.0,0.0
38,0.04740548588334707,-0.08123318807599124,0.060526256586705386,0.018286207472543364,2.660083738761767e-08,0.0,0.0
39,0.049329919676923246,-0.08370563045556799,0.06250919232748799,0.018944895059502875,1.6833009898884462e-08,0.0,0.0
40,0.05041153236526225,-0.08643046241231744,0.06439084609463305,0.019450447672978658,1.0651928664014089e-08,0.0,0.0
41,0.05170982293490623,-0.0890250182484443,0.06626096551574502,0.019988739727881524,6.7405404585881156e-09,0.0,0.0
42,0.052036993639154844,-0.09157215616578385,0.06782005528554692,0.020316302918476425,4.26541400219456e-09,0.0,0.0
43,0.05256433734142167,-0.09370399654279943,0.06919902682990665,0.02064421552254444,2.6991539805887178e-09,0.0,0.0
44,0.052066675359543124,-0.09555800528545481,0.07011883627391928,0.020726617795180147,1.7080246389165407e-09,0.0,0.0
45,0.05301010335463412,-0.09683640780662552,0.07112904651323404,0.021056251397615168,1.080837991506387e-09,0.0,0.0
46,0.05448750691735947,-0.09825489271569532,0.07237578257551172,0.021513311402362595,6.839542810252417e-10,0.0,0.0
47,0.05573595923968249,-0.09998668541085197,0.07373562736382275,0.021953581213023442,4.3280626903277296e-10,0.0,0.0
48,0.05617510430408454,-0.10184540622806518,0.07493190095200049,0.0222351067206495,2.7387980704393874e-10,0.0,0.0
49,0.05704115361087556,-0.10349624464300974,0.07613348536852968,0.022586083724294492,1.7331114189740445e-10,0.0,0.0
50,0.059971549452563354,-0.10522183246089259,0.07798126889179254,0.023382373464780164,1.0967129059267754e-10,0.0,0.0
51,0.06022406971545087,-0.1077362362874366,0.07949973479554599,0.02369078831000804,6.939999268704635e-11,0.0,0.0
52,0.06095140350473098,-0.10981952408147734,0.08090925088838014,0.024056185867688783,4.3916315372362934e-11,0.0,0.0
53,0.06160554802538577,-0.11175264891442994,0.08221110184244634,0.024390842893164653,2.7790244367631267e-11,0.0,0.0
54,0.06361135524965647,-0.11358397494913432,0.0838494513821343,0.025001795540736612,1.7585666635837067e-11,0.0,0.0
55,0.06524688292306603,-0.11585957694802952,0.08563485919392927,0.02557926539012888,1.1128209847157696e-11,0.0,0.0
56,0.06684922040863321,-0.11833354749014548,0.08752454248111208,0.02616980474715786,7.04193119128139e-12,0.0,0.0
57,0.06598809523049326,-0.12086834087765952,0.08872928966659294,0.02624414256656268,4.456134057842864e-12,0.0,0.0
58,0.06769067687713975,-0.12255804380239006,0.09019765863272837,0.026776442093254024,2.8198416318029643e-12,0.0,0.0
59,0.06878155317000072,-0.12458528061662787,0.0916812058839632,0.027213245751244744,1.7843957846049159e-12,0.0,0.0
60,0.06883821975564491,-0.12659926389025505,0.0928549175045872,0.02742940622207179,1.1291656524979908e-12,0.0,0.0
61,0.06981544994848529,-0.12822313959324838,0.09407349988776395,0.027801225580804684,7.145360249007286e-13,0.0,0.0
62,0.06929518379123749,-0.12985887460341344,0.09486129207173133,0.027856709322618946,4.5215839655718104e-13,0.0,0.0
63,0.07130188703813001,-0.1309930141423149,0.09609932864071194,0.028397182641995554,2.861258333413842e-13,0.0,0.0
64,0.07278255604952479,-0.1327206062473808,0.09752461902377924,0.02888626712265594,1.8106042733842794e-13,0.0,0.0
65,0.07614619521079373,-0.13476378153614804,0.09968147926687837,0.029806616040924775,1.145750384197572e-13,0.0,0.0
66,0.07737239254655048,-0.13772924404056403,0.10174363659801652,0.0303672158674106,7.250308431202236e-14,0.0,0.0
67,0.07743841352841922,-0.1405282998991232,0.10337115234578764,0.030664937668684892,4.587995175264775e-14,0.0,0.0
68,0.07877569679632608,-0.14277944939130233,0.10505535663170096,0.031176687466659903,2.90328334690755e-14,0.0,0.0
69,0.07927723320047454,-0.14508013932010566,0.10652379970041327,0.03151624230031572,1.8371977019230976e-14,0.0,0.0
70,0.07991409269146539,-0.14709262101495227,0.10786619474946228,0.03185527799827894,1.1625787057769363e-14,0.0,0.0
71,0.08066219813182934,-0.14893778430744273,0.10914496421182,0.032200942932757604,7.356798050156454e-15,0.0,0.0
72,0.08176243826745463,-0.1507081744738417,0.11048367423680312,0.03261369725653208,4.655381806139004e-15,0.0,0.0
