t,pi,y,i,phi,u,g,v
0,0.013501754146037503,-0.014125648326392378,0.006131111836066376,5.633160956539444e-05,0.01,0.0,0.0
1,0.01346181239835855,-0.021655683937663536,0.010313639847411536,0.00014346602258826155,0.011441000000000002,0.0,0.0
2,0.01304716922230608,-0.026482969830426896,0.012987014390914042,0.00010717085277595878,0.0123528648,0.0,0.0
3,0.013122487634141316,-0.029810106839164754,0.014855047320446119,0.00019788897753524688,0.01292989284544,0.0,0.0
4,0.013095622198246367,-0.03206102916421095,0.016123864520485524,0.0002518651882753637,0.013295036192594431,0.0,0.0
5,0.01346348087985052,-0.03385945633521725,0.017166555796249247,0.0004222772356099731,0.013526098902673757,0.0,0.0
6,0.013856578664985391,-0.035383151695629375,0.01806668318252319,0.0006110811112526019,0.013672315385611951,0.0,0.0
7,0.013778041092737031,-0.03638369533484314,0.01864892619476749,0.0006520146433866762,0.013764841176015242,0.0,0.0
8,0.014354293039175466,-0.03748027815523673,0.019318819311280662,0.0008842653560674568,0.013823391496182445,0.0,0.0
9,0.015586175017763049,-0.03913670843160115,0.020356156006072892,0.0013508713916597587,0.01386044213878425,0.0,0.0
10,0.015786870381816913,-0.04046182248517817,0.021164860468011255,0.0015296290422517516,0.013883887785422674,0.0,0.0
11,0.016086933194653645,-0.041596395963274115,0.02186254366545581,0.0017174835000747584,0.013898724190615467,0.0,0.0
12,0.003667083793495774,-0.029038645853078526,0.016718298788819384,0.0020940472822657563,0.003908112667821467,0.0,0.0
13,0.005083924712032202,-0.023613022582345676,0.013860059502402561,0.0025722252032948385,0.002473053696197424,0.0,0.0
14,0.006343520400247781,-0.020888265864802216,0.012494906127769401,0.0030408111370086362,0.00156494837895373,0.0,0.0
15,0.00822412124633352,-0.020442122560116065,0.01244359594243582,0.0037446450260440658,0.0009902993342019203,0.0,0.0
16,0.008916101279841045,-0.020719421606624117,0.01273848692976624,0.004123624908045034,0.0006266614186829752,0.0,0.0
17,0.009657851468343394,-0.02148238995808399,0.013292924877548065,0.00450179744781802,0.0003965513457425867,0.0,0.0
18,0.01017870527058475,-0.022417252289156465,0.013921476779682905,0.0048016737111112205,0.0002509376915859089,0.0,0.0
19,0.010522031813774,-0.023332090632165556,0.014517130927928223,0.005028938886644403,0.00015879337123556316,0.0,0.0
20,0.011342113790772438,-0.0245669261040211,0.01531244115269397,0.005393554362486686,0.00010048444531786437,0.0,0.0
21,0.0121158579986982,-0.02600333420699033,0.016223358121791764,0.005757398514473984,6.358655699714457e-05,0.0,0.0
22,0.013537649820071511,-0.028041250622630375,0.017516807826027388,0.006341150948685129,4.023757326779309e-05,0.0,0.0
23,0.014635023032246095,-0.030281884902495,0.018922151151861535,0.00686046694091135,2.5462336363859466e-05,0.0,0.0
24,0.014884729487629993,-0.03204293424581479,0.020008128967320456,0.007113314015766072,1.611256645105027e-05,0.0,0.0
25,0.016063856269845928,-0.034112019810272426,0.021308484553985117,0.0076308580581904255,1.0196032050224611e-05,0.0,0.0
26,0.01784075778321451,-0.03685295996497941,0.023036176311132604,0.008368561676712577,6.4520490813821345e-06,0.0,0.0
27,0.018891601184160778,-0.039555777650964415,0.02471895593513399,0.008918856504027042,4.082856658698615e-06,0.0,0.0
28,0.02037019272487778,-0.04251523990822734,0.026570792244837486,0.009603415749978854,2.5836316936244833e-06,0.0,0.0
29,0.022014404151545756,-0.04578458280205284,0.02861664230766481,0.010362030223846554,1.634922135725573e-06,0.0,0.0
30,0.023677121730357374,-0.04928631592858362,0.030804919215578288,0.011149611067203866,1.0345787274871427e-06,0.0,0.0
31,0.024887056517136935,-0.05262397498422778,0.03287965123040226,0.011805850549064141,6.546814187538639e-07,0.0,0.0
32,0.02533086942648425,-0.055283798209224605,0.034517802868507814,0.012197815363850941,4.142824017874451e-07,0.0,0.0
33,0.02574341049020434,-0.05742851375071838,0.03584029228563574,0.012527612193804797,2.6215790385109524e-07,0.0,0.0
34,0.027673436693811445,-0.06030593133209588,0.03765478960600876,0.013316466385631064,1.6589352155697308e-07,0.0,0.0
35,0.028414109641760228,-0.06288516553491375,0.039252327641245865,0.01377456803287963,1.0497742044125257e-07,0.0,0.0
