t,pi,y,i,phi,u,g,v
0,0.014182741936723045,-0.01110734632633424,0.004108042383462443,5.633160956539444e-05,0.01,0.0,0.0
1,0.014060827386073935,-0.018208775228103418,0.007227726513321108,0.0001628195516647563,0.011441000000000002,0.0,0.0
2,0.01350354879930818,-0.023392279084054855,0.009457841566826726,0.00019830783196619575,0.0123528648,0.0,0.0
3,0.013928155350921229,-0.027045015551859813,0.01131027948063963,0.0004233474981987654,0.01292989284544,0.0,0.0
4,0.014723919348205964,-0.02997213964257916,0.012990265631921514,0.0007399229426582266,0.013295036192594431,0.0,0.0
5,0.01692403717096931,-0.03256861338165527,0.014976716467977864,0.0013754335810142895,0.013526098902673757,0.0,0.0
6,0.018736746509224668,-0.035477763534109995,0.01708406539651759,0.0019950811908009004,0.013672315385611951,0.0,0.0
7,0.018947812519087337,-0.03844133630652897,0.018789105433390088,0.002302512997558569,0.013764841176015242,0.0,0.0
8,0.018876366589334365,-0.043736597731222626,0.020599417009436564,0.0030963791548511126,0.013823391496182445,0.0,0.0
9,0.01948116333341183,-0.0465186383704166,0.02220837375040238,0.00353313569687881,0.01386044213878425,0.0,0.0
10,0.019751143566832087,-0.04891345204944329,0.023548778125088807,0.0038536375029690787,0.013883887785422674,0.0,0.0
11,0.020292971015215048,-0.050986956969685464,0.024771969194465712,0.004206475173213297,0.013898724190615467,0.0,0.0
12,0.008043331810777538,-0.04094002225741528,0.021855081601495883,0.004704343208781491,0.003908112667821467,0.0,0.0
13,0.009713685792731623,-0.03596010653974373,0.020184373171161177,0.0051924495145087455,0.002473053696197424,0.0,0.0
14,0.011714296113195851,-0.03330511779317629,0.01958002754780256,0.005779897071580411,0.00156494837895373,0.0,0.0
15,0.014062895552439905,-0.03255534999502431,0.01991301136868735,0.00651151774569121,0.0009902993342019203,0.0,0.0
16,0.014745041317150267,-0.032896304472316604,0.02040972734517278,0.006875300572366039,0.0006266614186829752,0.0,0.0
17,0.015759010060960473,-0.033673191760023626,0.021141809700815216,0.007305852267773198,0.0003965513457425867,0.0,0.0
18,0.016317738677659982,-0.03474155154981079,0.02190188082023522,0.007623055022464564,0.0002509376915859089,0.0,0.0
19,0.016776331206189567,-0.035870029962197465,0.022648769939825165,0.007899109897118999,0.00015879337123556316,0.0,0.0
20,0.017633217222129502,-0.037112428852078425,0.023518307829224313,0.00826678921927456,0.00010048444531786437,0.0,0.0
21,0.01844171448491041,-0.03853635065093704,0.02446638564314565,0.008633600608457718,6.358655699714457e-05,0.0,0.0
22,0.019879070012761093,-0.04024806400681556,0.025686298212038793,0.009175145011106051,4.023757326779309e-05,0.0,0.0
23,0.02094125110476248,-0.04225887103620036,0.026991284601878936,0.009657450766694149,2.5462336363859466e-05,0.0,0.0
24,0.020962277722786506,-0.04412529134958544,0.02801269180466323,0.009874929070664942,1.611256645105027e-05,0.0,0.0
25,0.02235113861453873,-0.04594443522319056,0.029272879826463108,0.010409110936403383,1.0196032050224611e-05,0.0,0.0
26,0.02419813277964346,-0.04822664027285167,0.030872387412925154,0.011102346156891684,6.4520490813821345e-06,0.0,0.0
27,0.025178765110464733,-0.05077057989333441,0.032444677172939904,0.011619248499930415,4.082856658698615e-06,0.0,0.0
28,0.0269028127634029,-0.05346972311506224,0.03424538896239843,0.012328915737566792,2.5836316936244833e-06,0.0,0.0
29,0.02867783300542819,-0.05650975104836429,0.03624070988119128,0.013088430679714009,1.634922135725573e-06,0.0,0.0
30,0.03028504736913863,-0.05978513670007844,0.03833091575030312,0.013834361442991541,1.0345787274871427e-06,0.0,0.0
31,0.031282513667494745,-0.06303795181008615,0.04029013514367067,0.014433451274037674,6.546814187538639e-07,0.0,0.0
32,0.03151994429761052,-0.06590552782455013,0.04189238543151873,0.01480971848740195,4.142824017874451e-07,0.0,0.0
33,0.032003026235023053,-0.06832584491210035,0.04329970432572976,0.015194138572709322,2.6215790385109524e-07,0.0,0.0
34,0.03431981124083804,-0.07094415441144077,0.045171187075561864,0.016034350220221906,1.6589352155697308e-07,0.0,0.0
35,0.035150388599349665,-0.07384056389485215,0.046904395301957655,0.016554049782922898,1.0497742044125257e-07,0.0,0.0
36,0.03709471218765944,-0.07682874979809778,0.04890407816325637,0.017347413104547914,6.642971165522463e-08,0.0,0.0
37,0.038121700254793875,-0.07995990532073213,0.05080285413339105,0.017939748675580135,4.203672153542615e-08,0.0,0.0
38,0.03828356310920021,-0.08272144526711865,0.05233275653683957,0.018286207472543364,2.660083738761767e-08,0.0,0.0
39,0.03984314922434846,-0.08531837236480026,0.0540452757163642,0.018944895059502875,1.6833009898884462e-08,0.0,0.0
40,0.04071619685027859,-0.08799821125504959,0.055669209381715434,0.019450447672978658,1.0651928664014089e-08,0.0,0.0
41,0.041765843030118745,-0.09059713007129266,0.05728359357548208,0.019988739727881524,6.7405404585881156e-09,0.0,0.0
42,0.04202772457713833,-0.09297739847595343,0.05862607224679707,0.020316302918476425,4.26541400219456e-09,0.0,0.0
43,0.04245456254253496,-0.09501116450036985,0.0598126329015341,0.02064421552254444,2.6991539805887178e-09,0.0,0.0
44,0.04205075098124406,-0.0966054910103151,0.06059914537483557,0.020726617795180147,1.7080246389165407e-09,0.0,0.0
45,0.04281866493235021,-0.09793174747314777,0.061468172046213305,0.021056251397615168,1.080837991506387e-09,0.0,0.0
46,0.044016752769595775,-0.09948811181943716,0.06254574813187253,0.021513311402362595,6.839542810252417e-10,0.0,0.0
47,0.045026106011203604,-0.10129405347032913,0.06372202423528299,0.021953581213023442,4.3280626903277296e-10,0.0,0.0
48,0.04537829695241528,-0.10307036151072739,0.06475436512084772,0.0222351067206495,2.7387980704393874e-10,0.0,0.0
49,0.046078636005869596,-0.10473111230283581,0.06579173990711408,0.022586083724294492,1.7331114189740445e-10,0.0,0.0
50,0.048452800546559774,-0.1068345988870835,0.06739499760247428,0.023382373464780164,1.0967129059267754e-10,0.0,0.0
51,0.0486492771799466,-0.10918191572835102,0.06870687062025907,0.02369078831000804,6.939999268704635e-11,0.0,0.0
52,0.04923568855424103,-0.11121337019918559,0.06992322252960752,0.024056185867688783,4.3916315372362934e-11,0.0,0.0
53,0.04976383136907714,-0.11309285748099486,0.07104578089877382,0.024390842893164653,2.7790244367631267e-11,0.0,0.0
54,0.05138883114877535,-0.115123413249039,0.07246371066572471,0.025001795540736612,1.7585666635837067e-11,0.0,0.0
55,0.05270998740828235,-0.11749794197547984,0.07400916397138878,0.02557926539012888,1.1128209847157696e-11,0.0,0.0
56,0.05400361096219131,-0.12004794662399586,0.0756444732707581,0.02616980474715786,7.04193119128139e-12,0.0,0.0
57,0.05329936546614008,-0.12220680180162563,0.07667884501218264,0.02624414256656268,4.456134057842864e-12,0.0,0.0
58,0.05468126454901597,-0.12404780189382274,0.07794662530331176,0.026776442093254024,2.8198416318029643e-12,0.0,0.0
59,0.05556309650589612,-0.1260929744216442,0.07922789696158511,0.027213245751244744,1.7843957846049159e-12,0.0,0.0
60,0.05560596231245588,-0.12793917197295857,0.08023797797930013,0.02742940622207179,1.1291656524979908e-12,0.0,0.0
61,0.056398181323822405,-0.12959194914139638,0.08128890221700498,0.027801225580804684,7.145360249007286e-13,0.0,0.0
62,0.055974636904527884,-0.1309868828697575,0.08196338510780767,0.027856709322618946,4.5215839655718104e-13,0.0,0.0
63,0.05760390495468285,-0.1323768132052695,0.08303454389673454,0.028397182641995554,2.861258333413842e-13,0.0,0.0
64,0.058800935532747414,-0.13422239746969178,0.08426884393120229,0.02888626712265594,1.8106042733842794e-13,0.0,0.0
65,0.061523738830072845,-0.13669863661204584,0.08614218638944551,0.029806616040924775,1.145750384197572e-13,0.0,0.0
66,0.06250729128785472,-0.13963756591390766,0.08792819825583373,0.0303672158674106,7.250308431202236e-14,0.0,0.0
67,0.0625535166264404,-0.14220752916799975,0.08933164595107304,0.030664937668684892,4.587995175264775e-14,0.0,0.0
68,0.06363591530373229,-0.14449919233639014,0.09078568450017943,0.031176687466659903,2.90328334690755e-14,0.0,0.0
69,0.06403945547359088,-0.14668667430792257,0.09205111741789533,0.03151624230031572,1.8371977019230976e-14,0.0,0.0
70,0.06455454833148534,-0.14863306010601615,0.09320743573805572,0.03185527799827894,1.1625787057769363e-14,0.0,0.0
71,0.06516027188426943,-0.1504467533414102,0.0943093883905564,0.032200942932757604,7.356798050156454e-15,0.0,0.0
72,0.06605134363184911,-0.15225683083705183,0.09546489587713583,0.03261369725653208,4.655381806139004e-15,0.0,0.0
