t,pi,y,i,phi,u,g,v
0,1.3921175339957523,-1.1098787754511346,0.4026688994260778,0.0,1.0,0.0,0.0
1,-0.05644410031077088,-0.6976609973661119,0.29186515256582557,0.0,0.1441,0.0,0.0
2,-0.05937311681411797,-0.4909651406133645,0.20621183411822047,0.0,0.09118648000000001,0.0,0.0
3,-0.05130856590048709,-0.33942015148919125,0.14298783402315862,0.0,0.057702804544000015,0.0,0.0
4,-0.0404456521837206,-0.23147365222074004,0.0977400339296326,0.0,0.036514334715443214,0.0,0.0
5,-0.03022680885647415,-0.1561680306200181,0.06606441995256099,0.0,0.02310627100793247,0.0,0.0
6,-0.02181791519436254,-0.1044512442097765,0.04425305282396362,0.0,0.014621648293819667,0.0,0.0
7,-0.01536875824722789,-0.06936514342051532,0.029424653282359776,0.0,0.009252579040329086,0.0,0.0
8,-0.010632666812634601,-0.045792307491018244,0.01944531985548706,0.0,0.0058550320167202454,0.0,0.0
9,-0.007255254492100942,-0.03007961735532237,0.012784329757228504,0.0,0.0037050642601805716,0.0,0.0
10,-0.004897111621898992,-0.01967448501899123,0.008368284364786486,0.0,0.002344564663842266,0.0,0.0
11,-0.0032765867978608474,-0.012821739086755997,0.005457101705616909,0.0,0.0014836405192793858,0.0,0.0
12,-0.0021766160956680942,-0.008329467091649187,0.003547129213090031,0.0,0.0009388477205999954,0.0,0.0
13,-0.0014372889931767408,-0.005396248586225322,0.0022991392284174243,0.0,0.0005941028375956772,0.0,0.0
14,-0.0009443172909610427,-0.0034875470506645226,0.0014865541182954127,0.0,0.0003759482756305445,0.0,0.0
15,-0.0006177737433298545,-0.002249197223308984,0.0009590765636221259,0.0,0.00023790006881900858,0.0,0.0
16,-0.0004026635720934114,-0.0014478436449440468,0.0006175803773365044,0.0,0.00015054316354866864,0.0,0.0
17,-0.0002616211181711613,-0.0009304532515422543,0.0003970051232743179,0.0,9.526371389359752e-05,0.0,0.0
18,-0.00016951184984987137,-0.0005970706980648287,0.00025482549856311107,0.0,6.028287815186851e-05,0.0,0.0
19,-0.00010956561833835014,-0.00038263468505861365,0.0001633445727378324,0.0,3.81470052945024e-05,0.0,0.0
20,-7.066793497872951e-05,-0.0002449235641755666,0.00010457874347124832,0.0,2.4139424950361118e-05,0.0,0.0
21,-4.5493829988500474e-05,-0.00015660921505548844,6.688260399638309e-05,0.0,1.5275428108588515e-05,0.0,0.0
22,-2.923865211900377e-05,-0.00010004400813770646,4.2732825804019856e-05,0.0,9.666290907114812e-06,0.0,0.0
23,-1.876363694195618e-05,-6.385471681423441e-05,2.727914786248026e-05,0.0,6.116828886022254e-06,0.0,0.0
24,-1.2025441789218175e-05,-4.0724845895798325e-05,1.7400350680347204e-05,0.0,3.870729319074882e-06,0.0,0.0
25,-7.697861032592764e-06,-2.5955110291172914e-05,1.1091143695783241e-05,0.0,2.4493975131105856e-06,0.0,0.0
26,-4.922404176300011e-06,-1.6531495936978097e-05,7.065051045393963e-06,0.0,1.5499787462963787e-06,0.0,0.0
27,-3.144629240608525e-06,-1.052332769946707e-05,4.497811828367766e-06,0.0,9.808265506563484e-07,0.0,0.0
28,-2.007187477508246e-06,-6.695281265125863e-06,2.861922544855756e-06,0.0,6.206670412553373e-07,0.0,0.0
29,-1.280175116858593e-06,-4.2577495392891365e-06,1.8201461876798385e-06,0.0,3.9275810370637744e-07,0.0,0.0
30,-8.159176910923409e-07,-2.7064849722484855e-06,1.1570856645975813e-06,0.0,2.4853732802539566e-07,0.0,0.0
31,-5.196942149059032e-07,-1.7197375588997628e-06,7.352800088573499e-07,0.0,1.572744211744704e-07,0.0,0.0
32,-3.3082622637569863e-07,-1.0923579112607064e-06,4.67071621123834e-07,0.0,9.952325371920486e-08,0.0,0.0
33,-2.1048722477447255e-07,-6.936297020579132e-07,2.9660035025250025e-07,0.0,6.297831495351285e-08,0.0,0.0
34,-1.338585699695125e-07,-4.4031426615959453e-07,1.882911639703076e-07,0.0,3.985267770258293e-08,0.0,0.0
35,-8.509029170552099e-08,-2.794354009351912e-07,1.1950051449605933e-07,0.0,2.521877445019448e-08,0.0,0.0
36,-5.406847746028748e-08,-1.7729393565163515e-07,7.582310204858917e-08,0.0,1.5958440472083067e-08,0.0,0.0
37,-3.4344232533291183e-08,-1.1246292607011314e-07,4.809884897189534e-08,0.0,1.0098501130734165e-08,0.0,0.0
38,-2.180835059250339e-08,-7.13241044586268e-08,3.0505471565182346e-08,0.0,6.39033151552858e-09,0.0,0.0
39,-1.3844064729332318e-08,-4.5225395405184404e-08,1.934365375973713e-08,0.0,4.043801783026486e-09,0.0,0.0
40,-8.785925420227604e-09,-2.867176792330084e-08,1.2263771998766434e-08,0.0,2.55891776829916e-09,0.0,0.0
41,-5.574484794456598e-09,-1.8174353227118274e-08,7.773934294125363e-09,0.0,1.6192831637797086e-09,0.0,0.0
42,-3.5361003863493638e-09,-1.1518651067126086e-08,4.9271386091321e-09,0.0,1.0246823860397997e-09,0.0,0.0
43,-2.242619066211255e-09,-7.2994092173389045e-09,3.12241890762362e-09,0.0,6.484190138859853e-10,0.0,0.0
44,-1.4220183102363372e-09,-4.625109671726029e-09,1.9784948188472306e-09,0.0,4.103195519870515e-10,0.0,0.0
45,-9.015308857865245e-10,-2.930279032854873e-09,1.2535177489003814e-09,0.0,2.596502124974062e-10,0.0,0.0
46,-5.714630290988085e-10,-1.8563187091926646e-09,7.94112352518919e-10,0.0,1.6430665446835865e-10,0.0,0.0
47,-3.6218759783759347e-10,-1.175862079782606e-09,5.030290069145986e-10,0.0,1.0397325094757736e-10,0.0,0.0
48,-2.2952088300337895e-10,-7.447728725102129e-10,3.1861566153332597e-10,0.0,6.579427319962697e-11,0.0,0.0
49,-1.4543162475649554e-10,-4.716914352773396e-10,2.0179357327613592e-10,0.0,4.163461608072395e-11,0.0,0.0
50,-9.213994059481216e-11,-2.987181439980198e-10,1.2779577724588026e-10,0.0,2.6346385055882114e-11,0.0,0.0
51,-5.837050382858244e-11,-1.8916345614157147e-10,8.09277074557704e-11,0.0,1.6671992463362202e-11,0.0,0.0
52,-3.6974224246441724e-11,-1.1978080934453026e-10,5.1245048792733175e-11,0.0,1.0550036830815601e-11,0.0,0.0
53,-2.341899052368562e-11,-7.584269405210467e-11,3.2447608977685625e-11,0.0,6.676063306540113e-12,0.0,0.0
54,-1.4832139796806123e-11,-4.801962056626242e-11,2.0544311725784915e-11,0.0,4.224612860378583e-12,0.0,0.0
55,-9.393096725373916e-12,-3.040212603842223e-11,1.3007098354566408e-11,0.0,2.6733350180475675e-12,0.0,0.0
56,-5.948201749913217e-12,-1.9247356365922007e-11,8.234758255584533e-12,0.0,1.6916863994205008e-12,0.0,0.0
57,-3.766490238159964e-12,-1.2184890354185116e-11,5.213200355448427e-12,0.0,1.070499153553293e-12,0.0,0.0
58,-2.3848683552957985e-12,-7.713597050622338e-12,3.300217108677679e-12,0.0,6.774118643685238e-13,0.0,0.0
