t,pi,y,i,phi,u,g,v
0,1.392379100592518,-1.1098873340229574,0.4027502528152795,5.633160956539444e-05,1.0,0.0,0.0
1,-0.05574000726154674,-0.6977943748660429,0.29214753855922765,0.0001628195516647563,0.1441,0.0,0.0
2,-0.05863257118351842,-0.4913723705631132,0.20666221682394595,0.00019830783196619575,0.09118648000000001,0.0,0.0
3,-0.049630328059269604,-0.34008591639185304,0.1438607763024654,0.0004233474981987654,0.057702804544000015,0.0,0.0
4,-0.03756719382338119,-0.23275180469191376,0.09931556202092495,0.0007399229426582266,0.036514334715443214,0.0,0.0
5,-0.024845964584806646,-0.15848097652406778,0.06896575468038409,0.0013754335810142895,0.02310627100793247,0.0,0.0
6,-0.014406182432496063,-0.10862882782418311,0.04881920595208681,0.0019950811908009004,0.014621648293819667,0.0,0.0
7,-0.0075922718930264595,-0.07581264837313577,0.035401599914531866,0.002302512997558569,0.009252579040329086,0.0,0.0
8,-7.058902191111466e-05,-0.05424441170348295,0.02738804322290858,0.0030963791548511126,0.0058550320167202454,0.0,0.0
9,0.004079954953909617,-0.04122319378122575,0.022499390283346254,0.00353313569687881,0.0037050642601805716,0.0,0.0
10,0.006794904003280782,-0.03323354999621268,0.01957545292983926,0.0038536375029690787,0.002344564663842266,0.0,0.0
11,0.009101268713731778,-0.028426985121609783,0.018040340830417872,0.004206475173213297,0.0014836405192793858,0.0,0.0
12,0.011634577869107215,-0.02584797149718658,0.0176485038366435,0.004704343208781491,0.0009388477205999954,0.0,0.0
13,0.013671227674794744,-0.02501624296898291,0.01798705248270389,0.0051924495145087455,0.0005941028375956772,0.0,0.0
14,0.015879130988293338,-0.02531547064461551,0.018944196888647635,0.005779897071580411,0.0003759482756305445,0.0,0.0
15,0.01847310841811567,-0.026551589195682308,0.02050104565009119,0.00651151774569121,0.00023790006881900858,0.0,0.0
16,0.019046831294101656,-0.028588932907634618,0.021895343819105118,0.006875300572366039,0.00015054316354866864,0.0,0.0
17,0.020079006063049708,-0.03045495159107537,0.023304587864845315,0.007305852267773198,9.526371389359752e-05,0.0,0.0
18,0.020603580789909464,-0.03234623679922861,0.02456698791141317,0.007623055022464564,6.028287815186851e-05,0.0,0.0
19,0.02104871330197692,-0.0340494299582269,0.025689858758747342,0.007899109897118999,3.81470052945024e-05,0.0,0.0
20,0.02201967449733741,-0.03558923674154457,0.02686729714496698,0.00826678921927456,2.4139424950361118e-05,0.0,0.0
21,0.022958932256605124,-0.037207490366817156,0.028077242059090485,0.008633600608457718,1.5275428108588515e-05,0.0,0.0
