t,pi,y,i
0,-0.7804881858615883,-1.6327283129922536,0.7100215891760963
1,-0.4532502956177398,-0.948168856278409,0.4123284644389404
2,-0.26321452931511824,-0.5506269309244052,0.23945013106412494
3,-0.15285569389018092,-0.3197637372833142,0.1390550743195593
4,-0.08876737623657725,-0.18569532643406064,0.08075298855793851
5,-0.05154958172240014,-0.10783822628674197,0.04689541315157391
6,-0.029936216303973907,-0.0626245327331918,0.027233416545060094
7,-0.01738475884099933,-0.03636773558962713,0.015815170970337453
8,-0.010095792898168785,-0.02111971354025019,0.009184291379936095
9,-0.0058628960674645915,-0.012264780657651068,0.005333562837213428
10,-0.0034047400382120146,-0.007122485079809931,0.0030973421205525917
11,-0.0019772233030248853,-0.004136216955536715,0.0017987091376918056
12,-0.0011482262804644696,-0.0024020114484712904,0.001044558345862931
13,-0.000666805610237478,-0.0013949120804371531,0.000606602877056632
14,-0.0003872317934269177,-0.000810062630379159,0.00035227046139715465
15,-0.00022487582518572986,-0.00047042496393833946,0.0002045728476842995
16,-0.0001305913863772316,-0.0002731883170475426,0.00011880090610969867
17,-7.583789934663734e-05,-0.00015864773830550998,6.899085314716782e-05
18,-4.404108982116939e-05,-9.21309708316459e-05,4.006482756603741e-05
19,-2.5575834897150453e-05,-5.35029107697452e-05,2.326671340724254e-05
20,-1.4852569119937603e-05,-3.1070566553197124e-05,1.3511600714678946e-05
21,-8.625282824573685e-06,-1.8043506269990723e-05,7.84654672438969e-06
22,-5.008931667183405e-06,-1.0478345090932821e-05,4.556698854425369e-06
23,-2.908820146167531e-06,-6.085054323797587e-06,2.6461964962728845e-06
24,-1.6892294015877385e-06,-3.5337532599120918e-06,1.5367168471285634e-06
25,-9.809805446197994e-07,-2.052144720073121e-06,8.924124385981452e-07
26,-5.696815530312537e-07,-1.1917351445835671e-06,5.182476928347624e-07
27,-3.3082926429482113e-07,-6.92072367481476e-07,3.009602505658222e-07
28,-1.9212137295210625e-07,-4.0190487291434333e-07,1.7477564043786685e-07
29,-1.1157000280395119e-07,-2.3339687359590745e-07,1.0149687353408741e-07
30,-6.479167483763919e-08,-1.3553978634131635e-07,5.89419401432935e-08
31,-3.7626252780892634e-08,-7.871156711917421e-08,3.422915590290385e-08
32,-2.1850568022501453e-08,-4.570990530230533e-08,1.9877783306367934e-08
33,-1.2689207338457587e-08,-2.6544960533973942e-08,1.1543558663723838e-08
34,-7.368960967630386e-09,-1.5415366211985933e-08,6.703652241754002e-09
35,-4.279352074095802e-09,-8.952114098851226e-09,3.892989561320997e-09
36,-2.4851338274840743e-09,-5.198731300754909e-09,2.2607628167461243e-09
37,-1.4431834617885623e-09,-3.0190418530207326e-09,1.3128852346183924e-09
38,-8.380951083381305e-10,-1.753238085024191e-09,7.624274543580098e-10
39,-4.867041711729443e-10,-1.0181520934212048e-09,4.4276194737447593e-10
