t,pi,y,i,phi,u,g,v
0,-0.7804881858615883,-1.6327283129922536,0.7100215891760963,0.0,0.0,0.0,1.0
1,-0.4532502956177398,-0.948168856278409,0.4123284644389404,0.0,0.0,0.0,0.0
2,-0.26321452931511824,-0.5506269309244052,0.23945013106412494,0.0,0.0,0.0,0.0
3,-0.15285569389018092,-0.3197637372833142,0.1390550743195593,0.0,0.0,0.0,0.0
4,-0.08876737623657725,-0.18569532643406064,0.08075298855793851,0.0,0.0,0.0,0.0
5,-0.05154958172240014,-0.10783822628674197,0.04689541315157391,0.0,0.0,0.0,0.0
6,-0.029936216303973907,-0.0626245327331918,0.027233416545060094,0.0,0.0,0.0,0.0
7,-0.01738475884099933,-0.03636773558962713,0.015815170970337453,0.0,0.0,0.0,0.0
8,-0.010095792898168785,-0.02111971354025019,0.009184291379936095,0.0,0.0,0.0,0.0
9,-0.0058628960674645915,-0.012264780657651068,0.005333562837213428,0.0,0.0,0.0,0.0
10,-0.0034047400382120146,-0.007122485079809931,0.0030973421205525917,0.0,0.0,0.0,0.0
11,-0.0019772233030248853,-0.004136216955536715,0.0017987091376918056,0.0,0.0,0.0,0.0
12,-0.0011482262804644696,-0.0024020114484712904,0.001044558345862931,0.0,0.0,0.0,0.0
13,-0.000666805610237478,-0.0013949120804371531,0.000606602877056632,0.0,0.0,0.0,0.0
14,-0.0003872317934269177,-0.000810062630379159,0.00035227046139715465,0.0,0.0,0.0,0.0
15,-0.00022487582518572986,-0.00047042496393833946,0.0002045728476842995,0.0,0.0,0.0,0.0
16,-0.0001305913863772316,-0.0002731883170475426,0.00011880090610969867,0.0,0.0,0.0,0.0
17,-7.583789934663734e-05,-0.00015864773830550998,6.899085314716782e-05,0.0,0.0,0.0,0.0
18,-4.404108982116939e-05,-9.21309708316459e-05,4.006482756603741e-05,0.0,0.0,0.0,0.0
19,-2.5575834897150453e-05,-5.35029107697452e-05,2.326671340724254e-05,0.0,0.0,0.0,0.0
20,-1.4852569119937603e-05,-3.1070566553197124e-05,1.3511600714678946e-05,0.0,0.0,0.0,0.0
21,-8.625282824573685e-06,-1.8043506269990723e-05,7.84654672438969e-06,0.0,0.0,0.0,0.0
22,-5.008931667183405e-06,-1.0478345090932821e-05,4.556698854425369e-06,0.0,0.0,0.0,0.0
23,-2.908820146167531e-06,-6.085054323797587e-06,2.6461964962728845e-06,0.0,0.0,0.0,0.0
