t,pi,y,i,phi,u,g,v
0,-0.7802266192648227,-1.6327368715640764,0.7101029425652979,5.633160956539444e-05,0.0,0.0,1.0
1,-0.4525462025685157,-0.9483022337783399,0.41261085043234247,0.0001628195516647563,0.0,0.0,0.0
2,-0.2624739836845187,-0.5510341608741539,0.23990051376985044,0.00019830783196619575,0.0,0.0,0.0
3,-0.15117745604896346,-0.320429502185976,0.1399280165988661,0.0004233474981987654,0.0,0.0,0.0
4,-0.08588891787623786,-0.1869734789052344,0.08232851664923088,0.0007399229426582266,0.0,0.0,0.0
5,-0.04616873745073264,-0.11015117219079164,0.049796747879397016,0.0013754335810142895,0.0,0.0,0.0
6,-0.022524483542107433,-0.06680211634759842,0.03179956967318329,0.0019950811908009004,0.0,0.0,0.0
7,-0.009608272486797902,-0.042815240542247585,0.02179211760250955,0.002302512997558569,0.0,0.0,0.0
8,0.00046628489255469766,-0.0295718177527149,0.017127014747357623,0.0030963791548511126,0.0,0.0,0.0
9,0.005472313378545963,-0.023408357083554453,0.015048623363331182,0.00353313569687881,0.0,0.0,0.0
10,0.008287275586967758,-0.020681550057031386,0.01430451068560537,0.0038536375029690787,0.0,0.0,0.0
11,0.010400632208567738,-0.019741462990390507,0.01438194826249277,0.004206475173213297,0.0,0.0,0.0
12,0.01266296768431084,-0.019920515854008686,0.0151459329694164,0.004704343208781491,0.0,0.0,0.0
13,0.014441711057734006,-0.02101490646319474,0.016294516131343095,0.0051924495145087455,0.0,0.0,0.0
14,0.016436216485827465,-0.02263798622433014,0.017809913231749373,0.005779897071580411,0.0,0.0,0.0
15,0.018866006336259795,-0.024772816936311656,0.01974654193415336,0.00651151774569121,0.0,0.0,0.0
16,0.019318903479817837,-0.02741427757973811,0.02139656434787831,0.006875300572366039,0.0,0.0,0.0
17,0.020264789281874238,-0.02968314607783862,0.022976573594718164,0.007305852267773198,0.0,0.0,0.0
18,0.020729051549938163,-0.03184129707199542,0.024352227240416094,0.007623055022464564,0.0,0.0,0.0
19,0.02113270308541812,-0.03372029818393803,0.02554978089941675,0.007899109897118999,0.0,0.0,0.0
20,0.022075489863196202,-0.0353753837439222,0.02677623000221041,0.00826678921927456,0.0,0.0,0.0
21,0.022995800803769055,-0.03706892465803166,0.028018206001818487,0.008633600608457718,0.0,0.0,0.0
22,0.02471754408533876,-0.03880974785105149,0.029521546064889673,0.009175145011106051,0.0,0.0,0.0
23,0.025997377717988948,-0.04089059858894228,0.03109111551147469,0.009657450766694149,0.0,0.0,0.0
24,0.026005250207414194,-0.04301965685402639,0.03231668571211496,0.009874929070664942,0.0,0.0,0.0
25,0.027703279582444236,-0.0447374529992058,0.0337998656088561,0.010409110936403383,0.0,0.0,0.0
26,0.02997539908561821,-0.04682342860679411,0.03566234914166089,0.011102346156891684,0.0,0.0,0.0
27,0.03118661301438703,-0.04938913890961158,0.037490446723673326,0.011619248499930415,0.0,0.0,0.0
28,0.03331484979857275,-0.05193821707005909,0.03957696405980878,0.012328915737566792,0.0,0.0,0.0
29,0.03550958106217367,-0.05483996462284445,0.04188554205261129,0.013088430679714009,0.0,0.0,0.0
30,0.03749948149088962,-0.05803618999030156,0.044303458491209424,0.013834361442991541,0.0,0.0,0.0
31,0.03873775268571571,-0.06135611701568271,0.046572804885988375,0.014433451274037674,0.0,0.0,0.0
32,0.03903622493840183,-0.06444378846667992,0.04843407512458578,0.01480971848740195,0.0,0.0,0.0
33,0.03963305373611457,-0.06698775023709967,0.050070138934143034,0.015194138572709322,0.0,0.0,0.0
34,0.04249003901866253,-0.06930021873597608,0.05223366770452551,0.016034350220221906,0.0,0.0,0.0
35,0.043522065753123146,-0.07226837239114929,0.0542406299900167,0.016554049782922898,0.0,0.0,0.0
36,0.04592475128391374,-0.07506902410472481,0.056551891640357954,0.017347413104547914,0.0,0.0,0.0
37,0.04719974446724799,-0.07824549723270874,0.05874954634059247,0.017939748675580135,0.0,0.0,0.0
