t,pi,y,i,phi,u,g,v
0,0.00026156659676557226,-8.558571822803174e-06,8.135338920167712e-05,5.633160956539444e-05,0.0,0.0,0.0
1,0.000704093049224086,-0.00013337749993092007,0.00028238599340207893,0.0001628195516647563,0.0,0.0,0.0
2,0.0007405456305995539,-0.00040722994974873306,0.000450382705725505,0.00019830783196619575,0.0,0.0,0.0
3,0.001678237841217456,-0.0006657649026617918,0.0008729422793068153,0.0004233474981987654,0.0,0.0,0.0
4,0.0028784583603393976,-0.0012781524711737713,0.0015755280912923691,0.0007399229426582266,0.0,0.0,0.0
5,0.005380844271667497,-0.0023129459040496653,0.002901334727823106,0.0013754335810142895,0.0,0.0,0.0
6,0.007411732761866473,-0.004177583614406621,0.0045661531281231925,0.0019950811908009004,0.0,0.0,0.0
7,0.007776486354201428,-0.0064475049526204545,0.005976946632172096,0.002302512997558569,0.0,0.0,0.0
8,0.010562077790723483,-0.008452104212464711,0.007942723367421528,0.0030963791548511126,0.0,0.0,0.0
9,0.011335209446010554,-0.011143576425903384,0.009715060526117755,0.00353313569687881,0.0,0.0,0.0
10,0.011692015625179773,-0.013559064977221456,0.011207168565052779,0.0038536375029690787,0.0,0.0,0.0
11,0.012377855511592623,-0.015605246034853793,0.012583239124800964,0.004206475173213297,0.0,0.0,0.0
12,0.01381119396477531,-0.017518504405537396,0.014101374623553469,0.004704343208781491,0.0,0.0,0.0
13,0.015108516667971484,-0.019619994382757588,0.01568791325428646,0.0051924495145087455,0.0,0.0,0.0
14,0.01682344827925438,-0.02182792359395098,0.01745764277035222,0.005779897071580411,0.0,0.0,0.0
15,0.019090882161445524,-0.024302391972373317,0.019541969086469064,0.00651151774569121,0.0,0.0,0.0
16,0.019449494866195068,-0.027141089262690567,0.02127776344176861,0.006875300572366039,0.0,0.0,0.0
17,0.020340627181220875,-0.029524498339533113,0.022907582741570995,0.007305852267773198,0.0,0.0,0.0
18,0.020773092639759332,-0.031749166101163774,0.024312162412850058,0.007623055022464564,0.0,0.0,0.0
19,0.02115827892031527,-0.03366679527316828,0.025526514186009507,0.007899109897118999,0.0,0.0,0.0
