quarter,C,C_T,C_NT,Y,Y_T,Y_NT,p_ratio,NX,G
1,0.87280806,0.93903411,0.76336819,1.5832262,0.97772418,1.8934833,-0.081705081,-0.10906636,1
2,0.96599299,1.0684727,0.79664329,1.6062766,0.9978936,1.8882924,-0.12643227,-0.12280632,0.96
3,1.0177091,1.1497841,0.79945257,1.591512,0.99252003,1.8438649,-0.16294489,-0.13112266,0.91
4,1.0474157,1.202987,0.79033109,1.5719055,0.98276686,1.799935,-0.19193297,-0.13638673,0.87
5,1.0469402,1.2204359,0.760235,1.5220347,0.95324518,1.7243196,-0.21404695,-0.13765154,0.82
6,1.0361509,1.2225586,0.72810853,1.4751448,0.9253642,1.6570475,-0.22997677,-0.13733773,0.78
7,1.0041815,1.1989951,0.68224834,1.4040194,0.88220948,1.5640028,-0.24034731,-0.13417396,0.73
8,0.96889212,1.1681299,0.63964771,1.340565,0.84406961,1.4837837,-0.24580568,-0.13033787,0.69
9,0.91829033,1.1184334,0.58754993,1.2568141,0.79342417,1.3814852,-0.24692255,-0.12442046,0.64
10,0.86927253,1.0672761,0.5420677,1.1840298,0.75005352,1.2950367,-0.24428297,-0.11848074,0.6
11,0.80904592,1.0022734,0.48973364,1.0937093,0.69602555,1.1889846,-0.23839059,-0.11101039,0.55
12,0.75352798,0.93976048,0.44577508,1.0164621,0.65060737,1.1005822,-0.22976065,-0.10394758,0.51
13,0.6893571,0.86672705,0.39624974,0.92340457,0.59558955,0.99399559,-0.21882665,-0.095712311,0.46
14,0.63184165,0.79884311,0.35586841,0.84473842,0.54993778,0.90606849,-0.20603475,-0.08816629,0.42
15,0.57454499,0.72996927,0.31770328,0.76618799,0.50463815,0.81899208,-0.19175162,-0.080557261,0.38
16,0.51792871,0.66083998,0.28176499,0.68806878,0.45983025,0.73294749,-0.17631395,-0.072959284,0.34
17,0.46232248,0.592035,0.24796995,0.61060763,0.4155977,0.64803284,-0.16003026,-0.065429219,0.3
18,0.40797502,0.52403196,0.21618863,0.53397666,0.37199634,0.56429906,-0.14318295,-0.058012938,0.26
19,0.35507167,0.45722557,0.18626031,0.45830501,0.32906321,0.48176168,-0.12603036,-0.050747544,0.22
20,0.31088039,0.39907539,0.1651364,0.39843605,0.29609061,0.41855568,-0.10880883,-0.044519003,0.19
