quarter,C,C_T,C_NT,Y,Y_T,Y_NT,p_ratio,NX,G
1,0.87513385,0.93328764,0.77903358,1.5879391,0.54702465,2.0802449,-0.071746074,-0.10922869,1
2,0.97062501,1.0709139,0.80489566,1.6152667,0.60138611,2.0643396,-0.12372941,-0.12386849,0.96
3,1.0243815,1.1591931,0.80160255,1.604105,0.63150644,2.0085659,-0.16632119,-0.13295281,0.91
4,1.0558021,1.218177,0.78747427,1.5874292,0.64967304,1.9560459,-0.20032683,-0.13885583,0.87
5,1.0566786,1.2402572,0.75331117,1.5398322,0.65026896,1.8706497,-0.22648653,-0.14063407,0.82
6,1.0468717,1.2459315,0.71792134,1.4945955,0.64586401,1.7958199,-0.24558612,-0.14071556,0.78
7,1.0155221,1.2249071,0.66950925,1.4245444,0.62913008,1.6936527,-0.25832458,-0.13783617,0.73
8,0.98051174,1.1956578,0.62497863,1.3616388,0.61137632,1.6062748,-0.26543217,-0.13418329,0.69
9,0.92987548,1.1467326,0.57151475,1.2779626,0.58458966,1.495059,-0.26754319,-0.12835658,0.64
10,0.88054499,1.0955979,0.5251658,1.2048377,0.55950262,1.4015155,-0.26531725,-0.1224256,0.6
11,0.8197624,1.0299498,0.4724235,1.1138143,0.52763268,1.2865077,-0.25931457,-0.11489098,0.55
12,0.76348371,0.96621789,0.42846144,1.0355583,0.49912797,1.1909132,-0.25011927,-0.10770129,0.51
13,0.69838207,0.89146875,0.37930249,0.94123541,0.46518651,1.0752372,-0.23821686,-0.099285048,0.46
14,0.63980213,0.82146154,0.33960635,0.86109844,0.43561008,0.97996946,-0.22411869,-0.091513744,0.42
15,0.58133833,0.75012778,0.30241042,0.7809146,0.40612705,0.88547184,-0.20824063,-0.083642926,0.38
16,0.52348088,0.67826964,0.26768938,0.70103895,0.37695283,0.79193234,-0.19096756,-0.075754078,0.34
17,0.4665855,0.60653143,0.23532206,0.62173459,0.34823729,0.69945796,-0.17265552,-0.067911113,0.3
18,0.4109244,0.53545244,0.20513934,0.54320681,0.32009683,0.60810828,-0.153634,-0.060166618,0.26
19,0.35670394,0.46548645,0.17693867,0.46561498,0.29262497,0.51790647,-0.13420827,-0.052564105,0.22
20,0.31121076,0.40414982,0.15762712,0.40382992,0.27051836,0.44882329,-0.11466172,-0.045995689,0.19
