quarter,C,C_T,C_NT,Y,Y_T,Y_NT,p_ratio,NX,G
1,-0.088450833,-0.049059329,-0.15354608,0.9423225,0.44610484,1.2143911,-0.048598487,0.0079331875,1
2,-0.10977584,-0.057397506,-0.19633208,0.88828818,0.41887591,1.1390646,-0.064620732,0.0093730831,0.96
3,-0.12561312,-0.062792092,-0.22942613,0.82786047,0.38928717,1.0562056,-0.077504203,0.010358813,0.91
4,-0.1368225,-0.065776566,-0.25422733,0.7804747,0.3671217,0.99100694,-0.087651518,0.010969072,0.87
5,-0.14411012,-0.066790547,-0.27188224,0.72566713,0.34161672,0.9168042,-0.095391487,0.011268646,0.82
6,-0.1481268,-0.066224505,-0.28347197,0.68301025,0.32270388,0.85897791,-0.10104533,0.011315711,0.78
7,-0.14939885,-0.064395692,-0.28986826,0.63215836,0.2997473,0.79102554,-0.10487096,0.011157471,0.73
8,-0.14842237,-0.061589866,-0.29191481,0.59278555,0.28278706,0.73846732,-0.10712788,0.01083703,0.69
9,-0.14559052,-0.058034665,-0.2902783,0.5446335,0.26127991,0.67492124,-0.1080203,0.010388675,0.64
10,-0.14128484,-0.053939125,-0.28562538,0.50745149,0.24534512,0.62601144,-0.10776105,0.0098444382,0.6
11,-0.13579998,-0.049465157,-0.27846999,0.4610459,0.22450721,0.56544553,-0.10651387,0.0092291076,0.55
12,-0.1294327,-0.044765429,-0.26934704,0.42522165,0.20894353,0.51892484,-0.10445656,0.0085665633,0.51
13,-0.1224047,-0.039953438,-0.25865706,0.379833,0.18822844,0.46022342,-0.10172262,0.0078745881,0.46
14,-0.11495004,-0.035140177,-0.24683742,0.34472605,0.17258223,0.41509977,-0.098463834,0.0071710322,0.42
15,-0.10723641,-0.030403159,-0.23420488,0.30979051,0.15677634,0.37037777,-0.094791498,0.0064684768,0.38
16,-0.099412402,-0.025807277,-0.22104634,0.27492864,0.14075507,0.32589945,-0.090808865,0.005777674,0.34
17,-0.091610151,-0.02140645,-0.20762316,0.2400535,0.12447411,0.28152185,-0.086612425,0.0051077893,0.3
18,-0.083947615,-0.017244985,-0.19417504,0.20508747,0.10789912,0.23711476,-0.082293048,0.0044666053,0.26
19,-0.076530543,-0.013358702,-0.18092327,0.16996091,0.091004643,0.19255884,-0.077937008,0.003860691,0.22
20,-0.069454147,-0.0097758403,-0.16807374,0.14461113,0.0789332,0.16074468,-0.073626928,0.0032955416,0.19
