quarter,C,C_T,C_NT,Y,Y_T,Y_NT,p_ratio,NX,G
1,-0.094372211,-0.049446285,-0.1686132,0.94114207,-0.066796564,1.4311351,-0.055426471,0.0078898237,1
2,-0.11495518,-0.049344768,-0.22337769,0.88891414,-0.064353635,1.3455926,-0.080945546,0.0084267509,0.96
3,-0.13021873,-0.047627121,-0.26670301,0.8299449,-0.060321672,1.2503856,-0.10189576,0.0086529216,0.91
4,-0.1409924,-0.044692426,-0.30013002,0.78371733,-0.055145797,1.1750616,-0.11880819,0.0086321683,0.87
5,-0.14795781,-0.040870791,-0.32492124,0.72980646,-0.049194823,1.0886662,-0.13211649,0.0084171725,0.82
6,-0.15174422,-0.036437632,-0.34229066,0.68782172,-0.042769803,1.020918,-0.14225722,0.0080535013,0.78
7,-0.15286078,-0.031618007,-0.35321687,0.637447,-0.036117414,0.94101048,-0.14958087,0.0075782574,0.73
8,-0.15178821,-0.0265981,-0.35866734,0.59838537,-0.029435169,0.87879068,-0.15445081,0.0070237206,0.69
9,-0.14890774,-0.021527152,-0.35940669,0.55040129,-0.022881946,0.80356305,-0.15715327,0.0064156581,0.64
10,-0.14458996,-0.016526882,-0.35621675,0.51326718,-0.016580743,0.74527071,-0.15799529,0.0057766747,0.6
11,-0.13912127,-0.011691642,-0.34970126,0.46680717,-0.010627099,0.67330121,-0.15721378,0.0051242709,0.55
12,-0.13279057,-0.0070963173,-0.34050283,0.43084503,-0.0050900333,0.61766946,-0.1550728,0.0044739775,0.51
13,-0.12581392,-0.0027951631,-0.32910485,0.3852491,-1.8902397e-05,0.54782499,-0.15177195,0.0038372277,0.46
14,-0.11841961,0.0011714274,-0.31604619,0.34988127,0.0045570046,0.49383611,-0.14754308,0.0032243301,0.42
15,-0.1107715,0.0047790602,-0.30172109,0.3146427,0.0086227707,0.44035869,-0.14255821,0.0026422033,0.38
16,-0.10301487,0.0080136326,-0.28649167,0.27944618,0.012175298,0.38722543,-0.13697921,0.0020961954,0.34
17,-0.095279069,0.010870098,-0.27069268,0.24421454,0.015221931,0.33428314,-0.13095943,0.001590282,0.3
18,-0.08767966,0.013351491,-0.25463565,0.20887928,0.017779394,0.28139063,-0.12464518,0.0011272254,0.26
19,-0.080320301,0.015468186,-0.23861268,0.17337942,0.019872995,0.22841686,-0.11817715,0.00070870335,0.22
20,-0.07329436,0.017237348,-0.22289981,0.14766049,0.021536075,0.19039974,-0.1116917,0.00033540814,0.19
