# Peg-length robustness for the SAME sterilising device. scenario_a=1 is the default H only. H=40 is a robustness case, not the baseline. stoch_simul is not in this file.
H,scenario_a,quarter,y,ph,cs,cb,ib,ib_nom,ib_il,rl_bp,i_bp
8,0,1,-0.38688591,-0.74552268,-0.55651352,-0.30099259,-0.033631901,0.022309698,-0.0559416,100,-3.2159253e-15
8,0,2,-0.48767665,-1.3206766,-0.74004723,-0.51151257,-0.022460037,0.042456295,-0.064916332,89.774714,1.2168783e-15
8,0,3,-0.52794108,-1.7530548,-0.77321114,-0.67232345,0.00041720134,0.060335223,-0.059918021,80.565592,-2.776935e-14
8,0,4,-0.54040244,-2.0681725,-0.74796196,-0.79437949,0.024959108,0.076065954,-0.051106846,72.270839,-5.8205157e-14
8,0,5,-0.53916393,-2.2878531,-0.70206813,-0.88504832,0.048198215,0.089823745,-0.04162553,64.798832,-4.7088212e-14
8,0,6,-0.53053589,-2.4302366,-0.65085572,-0.94982818,0.069347152,0.10178877,-0.03244162,58.067107,-1.0152103e-14
8,0,7,-0.51752719,-2.510211,-0.60037645,-0.99310797,0.088290589,0.11213137,-0.023840777,52.001441,2.4383179e-15
8,0,8,-0.50171468,-2.5398986,-0.55286532,-1.0185248,0.10511655,0.12100836,-0.015891806,46.535026,1.3779726e-15
8,0,9,-0.48250002,-2.529095,-0.50758711,-1.0238117,0.11996965,0.12856285,-0.0085932014,41.607731,-5.0457829
8,0,10,-0.46217079,-2.4887781,-0.46585027,-1.0142374,0.13303629,0.13495482,-0.0019185279,37.307967,-8.5325607
8,0,11,-0.44149022,-2.4275099,-0.42793512,-0.99388036,0.14449274,0.14032346,0.0041692861,33.547004,-10.74395
8,0,12,-0.42093645,-2.3518991,-0.39371542,-0.96596201,0.15450001,0.1447897,0.0097103073,30.247857,-11.934671
8,0,13,-0.4008171,-2.2669886,-0.36291627,-0.93299732,0.16320293,0.1484586,0.014744331,27.34418,-12.328644
8,0,14,-0.38132879,-2.1765766,-0.33522072,-0.8969214,0.17073093,0.15142145,0.019309481,24.779135,-12.118973
