# Scenario (b): short-rate path news scaled to +100 bp on R^L. News innovation (qp)=1.04652. Bank Rate is not sterilised.
quarter,i_bp,pi_bp,rl_bp,tp_bp,reh_bp,rm_bp,rms_bp,reff_bp,ril_bp,nu_bp,y,c,cs,cb,inv,hi,q,k,h,ph,rer,ib,nx,dg,nfa,bm,e_ster_bp
1,295.45477,-375.83581,100,-5.4817893e-13,100,158.63643,14.277279,2.7472527,15.326867,418.60672,-4.1604831,-6.0740448,-9.0605863,-1.2012664,-2.3941613,-1.9826568,-14.364968,-0.059854033,-0.013878598,-5.9479705,-13.346638,-0.85181875,-0.051911335,2.8776901,-0.051911335,-0.53656642,0
2,399.40383,-457.89796,94.478679,-1.1372835e-12,94.478679,185.95622,29.728384,5.2673469,29.639424,313.95504,-5.4182576,-8.5855983,-12.559748,-2.1014599,-2.1666624,-3.6093996,-12.999974,-0.11252424,-0.039047245,-10.828199,-11.462737,-0.9683105,0.28752214,6.2673278,0.23534994,-1.4663276,0
3,408.30864,-441.82524,85.864974,-1.7218894e-12,85.864974,182.59807,43.486656,7.4815674,42.015607,235.46628,-5.6532539,-9.196485,-13.13022,-2.7782856,-1.9307152,-4.8729791,-11.584291,-0.15797902,-0.072884767,-14.618937,-9.3620181,-0.84919999,0.45586462,9.3976224,0.69239722,-2.6566221,0
4,371.52914,-394.26752,76.756396,-2.2729944e-12,76.756396,165.18822,54.439797,9.384722,52.289507,176.59971,-5.3748896,-8.8389035,-12.266664,-3.2462413,-1.712289,-5.8036932,-10.273734,-0.19683677,-0.11300043,-17.411079,-7.3625016,-0.66386609,0.52573004,12.039105,1.2216066,-3.9946933,0
5,315.73884,-339.22919,68.429482,-2.772506e-12,68.429482,142.62229,62.376221,11.006831,60.582499,132.44978,-4.8661998,-8.0340601,-10.792154,-3.5340127,-1.5208624,-6.4458592,-9.1251742,-0.22993741,-0.15733044,-19.337578,-5.5978219,-0.472155,0.54004666,14.155483,1.767792,-5.3897126,0
6,255.50922,-285.72491,61.443342,-3.2101673e-12,61.443342,119.66311,67.532041,12.392449,67.119324,99.337338,-4.2806859,-7.0664163,-9.1451406,-3.6748133,-1.3584965,-6.8471553,-8.1509788,-0.25815138,-0.20415921,-20.541466,-4.1118404,-0.29536442,0.52381303,15.780966,2.3004884,-6.7717447,0
7,198.54014,-237.07961,55.961255,-3.5813304e-12,55.961255,98.73492,70.3403,13.589394,72.150324,74.503003,-3.6985446,-6.0859976,-7.5474854,-3.7014649,-1.2238227,-7.0535302,-7.3429362,-0.28229317,-0.25210481,-21.16059,-2.9033732,-0.14023825,0.49153563,16.973802,2.8035843,-8.0894303,0
8,148.52631,-194.28647,51.933603,-3.8854375e-12,51.933603,80.911414,71.2917,14.642807,75.91726,55.877253,-3.1588466,-5.1672095,-6.1008709,-3.6438674,-1.1139692,-7.106798,-6.6838151,-0.30308507,-0.30008766,-21.320394,-1.9493426,-0.0076804807,0.45163184,17.797432,3.2693045,-9.3072249,0
9,106.83433,-157.33319,49.204995,-4.1247816e-12,49.204995,66.493797,70.859889,15.592317,78.638812,41.907939,-2.6778767,-4.3424122,-4.8416685,-3.5278362,-1.0255469,-7.0436396,-6.1532817,-0.32114661,-0.34729252,-21.130919,-1.2173869,0.10379214,0.4089746,18.312559,3.6947078,-10.402614,0
10,73.516434,-125.77675,47.577048,-4.303484e-12,47.577048,55.358864,69.464797,16.471019,80.505571,31.430955,-2.2595846,-3.6210627,-3.7720248,-3.3747563,-0.95516176,-6.8953705,-5.7309705,-0.33699699,-0.39312907,-20.686112,-0.67280621,0.19656087,0.36635686,18.573951,4.079631,-11.36351,0
