# anticipated Bank Rate peg: the Taylor rule is left in place and the monetary residual is set to ε_ster,t = −i_t^TR for the first H quarters, with i_t^path = 0, so i_t = ρ_i i_{t−1} + (1−ρ_i)(φ_π π_t + φ_y Y_t) + ν_t + ε_ster,t = 0; residuals are anticipated (perfect foresight) and the Taylor rule resumes after H | H=40 | TP innovation (qp)=0.235633
quarter,i_bp,pi_bp,rl_bp,tp_bp,reh_bp,rm_bp,rms_bp,reff_bp,ril_bp,nu_bp,y,c,cs,cb,inv,hi,q,k,h,ph,rer,ib,nx,dg,nfa,bm,e_ster_bp
1,-1.6180767e-14,-51.684424,100,94.253335,5.7466646,70,6.3,2.7472527,4.5599762,-7.8779724e-14,-0.18726828,0.0076009313,0.21809803,-0.3358417,-0.98211019,-0.6029155,-5.8926611,-0.024552755,-0.0042204085,-1.8087465,-1.5590069,-0.092999804,-0.059832122,0.41963751,-0.059832122,-0.16316702,15.973498
2,-2.1465398e-14,-65.983133,93.564602,87.655602,5.9089997,65.495221,11.62757,5.2422349,8.9007055,-9.1186828e-14,-0.19520426,0.0025297231,0.37226427,-0.60072138,-0.93752307,-1.129372,-5.6251384,-0.047377013,-0.012096469,-3.3881159,-1.3934507,-0.093835261,-0.048470276,0.95301001,-0.10860306,-0.4545011,20.28295
3,-7.3899867e-14,-68.997924,87.59563,81.51971,6.0759206,61.316941,16.099613,7.5046908,12.940589,-6.0681676e-14,-0.22895696,-0.057198671,0.4111431,-0.82133525,-0.8931661,-1.5816394,-5.3589966,-0.06852174,-0.02308327,-4.7449182,-1.2198699,-0.068752903,-0.03197994,1.5067395,-0.14112875,-0.84271614,21.27177
4,-1.6693768e-13,-68.356845,82.060887,75.81333,6.2475568,57.442621,19.820484,9.5529379,16.661159,-5.9100853e-15,-0.26762914,-0.13040701,0.40340926,-1.0013704,-0.85028093,-1.9641287,-5.1016856,-0.08806572,-0.036670588,-5.892386,-1.0475665,-0.037041846,-0.014680744,2.0498829,-0.15651868,-1.3004868,21.176126
5,-5.6410436e-14,-66.308429,76.930438,70.506397,6.4240415,53.851307,22.883258,11.403968,20.062986,6.0319912e-14,-0.3022715,-0.19929555,0.38045155,-1.1451987,-0.80929348,-2.2820257,-4.8557609,-0.10609641,-0.052388074,-6.8460771,-0.88023023,-0.0043173561,0.0015950557,2.5701913,-0.15571015,-1.8043048,20.648208
6,-5.9097877e-14,-63.557231,72.176461,65.570949,6.6055116,50.523523,25.370882,13.073542,23.153224,1.2931694e-13,-0.32951034,-0.25687268,0.35625497,-1.2572388,-0.77038112,-2.5408103,-4.6222867,-0.12270353,-0.069807029,-7.622431,-0.71978005,0.027733563,0.016125058,3.0615092,-0.14036756,-2.3342188,19.890945
7,4.6194739e-14,-60.371176,67.773091,60.980983,6.7921079,47.441163,27.357207,14.576277,25.942053,1.9534498e-13,-0.34857596,-0.30118053,0.33654848,-1.3416858,-0.73363089,-2.7460348,-4.4017854,-0.13797672,-0.088540624,-8.2381045,-0.56744843,0.058539357,0.028696766,3.5201642,-0.11237615,-2.8735372,18.982793
8,7.2167224e-14,-56.893516,63.696289,56.712314,6.9839754,44.587403,28.907925,15.925728,28.441543,2.547999e-13,-0.35987815,-0.33255494,0.32315764,-1.4024018,-0.69908332,-2.9031882,-4.1944999,-0.15200438,-0.10824316,-8.7095647,-0.42409088,0.087851038,0.039332614,3.9438918,-0.073608245,-3.4085215,17.96775
9,-1.0163368e-14,-53.227202,59.923715,52.742452,7.1812628,41.9466,30.081406,17.134464,30.665129,3.0561017e-13,-0.36431447,-0.35230297,0.3161162,-1.4428816,-0.66674597,-3.0175993,-4.0004758,-0.16487292,-0.12860865,-9.0527979,-0.2902868,0.11552665,0.048159397,4.3314522,-0.025818738,-3.9280812,16.878947
10,-3.9043435e-14,-49.456376,56.434604,49.05048,7.3841234,39.504223,30.929459,18.214138,32.627246,3.467946e-13,-0.36293497,-0.36206366,0.31469714,-1.4662523,-0.63659949,-3.0943649,-3.8195969,-0.17666608,-0.14936894,-9.2830946,-0.16638767,0.14147514,0.055345035,4.6824281,0.029396555,-4.4234756,15.74425
