# Same TP innovation as the sterilised experiment, Taylor rule left to operate. Not scenario (a).
quarter,i_bp,pi_bp,rl_bp,tp_bp,reh_bp,rm_bp,rms_bp,reff_bp,ril_bp,nu_bp,y,c,cs,cb,inv,hi,q,k,h,ph,rer,ib,nx,dg,nfa,bm,e_ster_bp
1,12.26256,36.631759,98.737521,94.253335,4.4841853,72.795033,6.5515529,2.7125693,1.5087739,-3.663065e-14,0.50921306,1.0681821,1.876108,-0.25001278,-0.43605291,-0.35992567,-2.6163174,-0.010901323,-0.0025194797,-1.079777,0.01602291,0.11318308,-0.090696977,-0.25062199,-0.090696977,-0.097406683,0
2,24.75149,43.81815,91.920059,87.655602,4.2644572,71.769488,12.421167,5.1633245,2.8795821,-3.1318796e-14,0.71839864,1.4947515,2.7157066,-0.4973331,-0.42937922,-0.70215665,-2.5762753,-0.02136327,-0.0074169399,-2.10647,-0.061959095,0.15026065,-0.1330293,-0.51955631,-0.22418204,-0.2788899,0
3,33.803959,40.513866,85.205437,81.51971,3.6857275,69.784994,17.583912,7.3622836,4.2107825,1.2909408e-15,0.73944299,1.5576865,2.9596888,-0.72979085,-0.42163369,-1.0223956,-2.5298022,-0.031370031,-0.01452179,-3.0671867,-0.099123216,0.15971939,-0.13904713,-0.72910368,-0.36435572,-0.53114357,0
4,38.905489,33.870161,78.64826,75.81333,2.83493,66.725429,22.006648,9.3206896,5.5234142,4.9359892e-14,0.68050935,1.4623288,2.9317351,-0.93512364,-0.41182253,-1.3150909,-2.4709352,-0.040881343,-0.023625774,-3.9452727,-0.095645162,0.15977418,-0.12823039,-0.85933379,-0.49441704,-0.84054152,0
5,40.606836,26.657684,72.322385,70.506397,1.8159876,62.80772,25.678745,11.051505,6.8111527,1.0490438e-13,0.59405583,1.3090809,2.7903035,-1.1076506,-0.40013621,-1.5756105,-2.4008173,-0.049862715,-0.034489667,-4.7268315,-0.060081478,0.15741436,-0.11053494,-0.91211048,-0.60743649,-1.1934117,0
6,39.723792,19.925292,66.29115,65.570949,0.72020094,58.320943,28.616542,12.569078,8.0601413,1.6235299e-13,0.50429439,1.1448774,2.6101105,-1.2457661,-0.38711466,-1.8008952,-2.3226879,-0.058294013,-0.046854506,-5.4026857,-0.0023032529,0.15523924,-0.090911185,-0.89698857,-0.70140012,-1.5764633,0
7,37.037628,14.016812,60.599387,60.980983,-0.38159542,53.53086,30.858831,13.888592,9.2566897,2.1777197e-13,0.4214202,0.98997213,2.4243468,-1.3503234,-0.37332718,-1.9894896,-2.2399631,-0.066169843,-0.060452952,-5.9684688,0.068978197,0.15407249,-0.071716944,-0.82549667,-0.77664169,-1.9771845,0
8,33.197785,8.9848832,55.273678,56.712314,-1.4386356,48.65091,32.460118,15.025545,10.389918,2.6842239e-13,0.34888714,0.85168729,2.2462189,-1.4236012,-0.35926028,-2.1413315,-2.1555617,-0.073497104,-0.075019102,-6.4239945,0.14687648,0.15402243,-0.053987096,-0.70883533,-0.8345315,-2.3841491,0
9,28.706149,4.7674848,50.325386,52.742452,-2.4170656,43.839615,33.484273,15.995321,11.452297,3.124809e-13,0.28707002,0.73136371,2.0797539,-1.4686413,-0.34529025,-2.2574702,-2.0717415,-0.080291932,-0.09029626,-6.7724107,0.22629754,0.15493009,-0.03809475,-0.55702769,-0.87681988,-2.7872193,0
10,23.932054,1.264876,45.754228,49.05048,-3.2962524,39.207576,33.99937,16.812873,12.439365,3.4884278e-13,0.23506884,0.62780374,1.9250923,-1.4888249,-0.33168901,-2.3397858,-1.990134,-0.086576859,-0.10604269,-7.0193574,0.30366892,0.15656067,-0.024092256,-0.37869677,-0.90531827,-3.1776556,0
11,19.136356,-1.6273622,41.551533,45.616947,-4.0654136,34.82698,34.073855,17.492507,13.349181,3.7696939e-13,0.19156875,0.53892576,1.7809909,-1.4876016,-0.31864108,-2.3907392,-1.9118465,-0.092378465,-0.12203556,-7.1722177,0.37662064,0.15868274,-0.011885136,-0.18110599,-0.92175274,-3.5481494,0
12,14.495615,-4.0051303,37.70293,42.42376,-4.7208309,30.740735,33.773874,18.047738,14.181745,3.9676273e-13,0.15522749,0.46251988,1.6459382,-1.4683205,-0.30626242,-2.4131633,-1.8375745,-0.097725564,-0.13807346,-7.2394898,0.44369189,0.16109733,-0.0013194355,0.029701163,-0.9277041,-3.8927966,0
13,10.123095,-5.9515885,34.190429,39.454097,-5.2636683,26.970229,33.161546,18.491219,14.938491,4.0845985e-13,0.12483186,0.39656134,1.5185968,-1.4341281,-0.29461736,-2.4100936,-1.7677042,-0.10264786,-0.1539776,-7.2302807,0.50408694,0.163645,0.0077754813,0.24873563,-0.92459045,-4.2070282,0
14,6.0857843,-7.5368478,30.993988,36.69231,-5.6983226,23.521527,32.293944,18.834701,15.621862,4.1254339e-13,0.099345113,0.33931341,1.3979348,-1.387911,-0.2837326,-2.3846365,-1.7023956,-0.10717498,-0.16959221,-7.1539094,0.5574827,0.16620368,0.015566842,0.47190269,-0.91366979,-4.4875108,0
15,2.4176286,-8.8192141,28.092642,34.123849,-6.031207,20.390138,31.222602,19.08904,16.234985,4.0966661e-13,0.077906174,0.28933551,1.2832221,-1.3322689,-0.27360822,-2.3398685,-1.6416493,-0.11133581,-0.18478414,-7.0196055,0.60388189,0.16868331,0.022209802,0.69585927,-0.89605129,-4.7320299,0
16,-0.87044099,-9.8468967,25.465305,31.735179,-6.2698747,17.564581,29.99338,19.264212,16.781414,4.0059144e-13,0.059810046,0.24545321,1.1739775,-1.2695074,-0.2642261,-2.2787622,-1.5853566,-0.11515807,-0.19944199,-6.8362867,0.64350372,0.17101986,0.027844415,0.91789135,-0.87270965,-4.9393628,0
17,-3.7830578,-10.65971,23.091316,29.513717,-6.422401,15.029004,28.646586,19.369353,17.264944,3.8613828e-13,0.044483158,0.2067168,1.069906,-1.2016445,-0.25555619,-2.2041337,-1.5333371,-0.11866802,-0.21347483,-6.6124011,0.67670399,0.17316988,0.032595271,1.1358107,-0.84449985,-5.109149,0
18,-6.3349729,-11.290585,20.950798,27.447757,-6.4969588,12.765067,27.217249,19.412799,17.689469,3.6714634e-13,0.031459598,0.17236009,0.97084079,-1.1304242,-0.24756108,-2.1186071,-1.4853665,-0.12189034,-0.22681076,-6.3558212,0.7039178,0.17510575,0.036572341,1.3478687,-0.81217123,-5.2417624,0
19,-8.5471317,-11.766848,19.024879,25.526414,-6.5015346,10.753276,25.735492,19.402142,18.058883,3.4444304e-13,0.020360401,0.14176415,0.87669664,-1.0573362,-0.24019932,-2.0245931,-1.4411959,-0.12484807,-0.23939523,-6.0737794,0.7256192,0.17681201,0.03987228,1.5526844,-0.77638021,-5.3381895,0
20,-10.443893,-12.111261,17.295815,23.739565,-6.4437494,8.9739029,24.226949,19.344276,18.377009,3.1882132e-13,0.010876399,0.11442701,0.78743432,-0.98363755,-0.23342777,-1.9242784,-1.4005666,-0.12756256,-0.25118942,-5.7728353,0.74229333,0.17828224,0.042579848,1.7491848,-0.73770177,-5.3999147,0
21,-12.051089,-12.34287,15.747044,22.077795,-6.330751,7.4076041,22.713208,19.245451,18.647551,2.9102344e-13,0.0027543667,0.089939262,0.70303521,-0.91037518,-0.22720322,-1.8196226,-1.3632193,-0.13005358,-0.26216845,-5.4588677,0.75441779,0.17951679,0.044769281,1.9365549,-0.69663953,-5.4288156,0
22,-13.394712,-12.477686,14.36319,20.532349,-6.1691595,6.0358193,21.212243,19.111323,18.874059,2.617303e-13,-0.0042140058,0.067964639,0.62348384,-0.83840879,-0.22148347,-1.7123616,-1.3289008,-0.13233933,-0.2723198,-5.1370847,0.76245068,0.18052093,0.046505562,2.1141958,-0.65363467,-5.4270686,0
23,-14.500041,-12.529229,13.130037,19.095085,-5.9650479,4.8410138,19.738832,18.947002,19.059909,2.3155505e-13,-0.010200842,0.048224718,0.54875663,-0.76843261,-0.21622804,-1.6040158,-1.2973683,-0.13443654,-0.28164167,-4.8120475,0.76682332,0.18130343,0.047845551,2.2816896,-0.60907372,-5.3970645,0
24,-15.391096,-12.508969,12.034483,17.758429,-5.7239464,3.8068092,18.30495,18.757097,19.208295,2.0104025e-13,-0.015348985,0.030486967,0.47881519,-0.70099592,-0.21139864,-1.4959014,-1.2683918,-0.1363606,-0.29014149,-4.4877041,0.76793638,0.18187552,0.048839,2.4387703,-0.56329539,-5.3413348,0
25,-16.090323,-12.426676,11.064476,16.515339,-5.4508631,2.9180362,16.920128,18.545761,19.32222,1.7065764e-13,-0.019777464,0.014555372,0.41360293,-0.63652222,-0.20695935,-1.3891427,-1.2417561,-0.13812556,-0.2978345,-4.167428,0.76615828,0.18225001,0.04952944,2.585298,-0.51659658,-5.2624883,0
26,-16.618438,-12.290716,10.208952,15.359265,-5.1503134,2.160735,15.591782,18.316728,19.404501,1.4081006e-13,-0.023585851,0.00026310619,0.35304387,-0.57532656,-0.20287676,-1.2846875,-1.2172605,-0.13974434,-0.30474247,-3.8540626,0.76182523,0.18244068,0.049954967,2.7212386,-0.46923758,-5.1631568,0
27,-16.994377,-12.108276,9.4577617,14.284117,-4.826355,1.5221199,14.325513,18.07335,19.457765,1.1183464e-13,-0.026857735,-0.012533221,0.29704307,-0.51763139,-0.19911994,-1.1833217,-1.1947196,-0.14122873,-0.31089252,-3.5499652,0.7552422,0.18246183,0.050148924,2.8466455,-0.42144663,-5.0459499,0
28,-17.235329,-11.885561,8.801603,13.284229,-4.4826256,0.99052338,13.125364,17.818632,19.484463,8.4007194e-14,-0.029663525,-0.023958086,0.24548799,-0.46358063,-0.19566041,-1.0856845,-1.1739625,-0.14258953,-0.31631607,-3.2570534,0.74668462,0.18232785,0.050140512,2.9616441,-0.37342394,-4.9134176,0
29,-17.356805,-11.627949,8.2319528,12.354333,-4.1223797,0.55532558,11.99406,17.555261,19.48687,5.7547121e-14,-0.032062717,-0.034120617,0.19825038,-0.41325224,-0.19247201,-0.9922832,-1.154832,-0.14383659,-0.32104784,-2.9768496,0.73640041,0.182053,0.049955314,3.0664194,-0.32534513,-4.7680208,0
